top_places_,mentions,total_number_of_views,year
Portland,1,1288573.0,2021
Florida,6,1284078.0,2021
Marsden,3,1243876.0,2021
English,8,1232314.0,2021
Oklahoma city,1,1215545.0,2021
Oklahoma,1,1215545.0,2021
Tulsa,1,1215545.0,2021
Rhode island,1,1210158.0,2021
Basra,2,1205523.0,2021
Palau,5,1185224.0,2021
Wellington,1,1157256.0,2021
Detroit,1,1120313.0,2021
Syria,6,1115553.0,2021
Virginia,2,1073731.0,2021
Jesus,1,1025376.0,2021
Masala,1,1017092.0,2021
Spanish,6,1016738.0,2021
Maryland,1,945767.0,2021
Istanbul,1,934797.0,2021
Egypt,5,918094.0,2021
Nevada,9,915571.0,2021
Burkina faso,2,888681.0,2021
Colorado,3,809369.0,2021
Leadville,1,782041.0,2021
Hungary,6,747615.0,2021
Budapest,6,747615.0,2021
Kabul,3,745210.0,2021
Qatar,2,737018.0,2021
Philippines,7,736525.0,2021
Melbourne,1,724301.0,2021
Australia,1,724301.0,2021
Lisbon,1,717655.0,2021
Portugal,1,717655.0,2021
Kyoto,1,711881.0,2021
National park,1,690906.0,2021
Libya,2,680828.0,2021
Nouakchott,3,657615.0,2021
Chiang mai,1,646581.0,2021
Miles,1,645211.0,2021
Venice,5,644286.0,2021
France,9,634685.0,2021
Auckland,1,626257.0,2021
Bolivia,1,601396.0,2021
Rwanda,1,581697.0,2021
Marina,2,577315.0,2021
Tajikistan,3,572136.0,2021
Cairo,2,569235.0,2021
South beach,1,536124.0,2021
Havana,1,536124.0,2021
Miami beach,1,536124.0,2021
Miami,1,536124.0,2021
Hollywood,4,507421.0,2021
Bavaria,3,483534.0,2021
Munich,3,483534.0,2021
South africa,2,481754.0,2021
Beckley,1,472335.0,2021
West virginia,1,472335.0,2021
Tripoli,1,456360.0,2021
Malibu,1,416048.0,2021
Jordan,3,407633.0,2021
Rajasthan,1,381572.0,2021
Jodhpur,1,381572.0,2021
Udaipur,1,381572.0,2021
Jaipur,1,381572.0,2021
Mount sinai,1,377954.0,2021
Luxor,2,371665.0,2021
Nashville,1,371654.0,2021
El salvador,2,371282.0,2021
Scottsdale,1,359672.0,2021
Athens,1,354482.0,2021
Uganda,2,351516.0,2021
Guam,1,348646.0,2021
Rico,1,341080.0,2021
Puerto rico,1,341080.0,2021
Puerto,1,341080.0,2021
Williams,1,338030.0,2021
Zambia,1,322251.0,2021
Jack,2,319547.0,2021
Michael,2,296211.0,2021
Island,1,271385.0,2021
Fiji,1,270422.0,2021
Ford,1,268465.0,2021
Manta,1,268465.0,2021
Pacific,1,263401.0,2021
Slovenia,2,259747.0,2021
Morocco,3,258865.0,2021
Mesopotamia,1,258699.0,2021
Kentucky,3,251907.0,2021
United arab emirates,1,244680.0,2021
Missouri,2,241355.0,2021
Kandahar,2,238164.0,2021
Branson,1,228957.0,2021
Kerman,1,224468.0,2021
Kingston,2,223613.0,2021
Montego bay,2,223613.0,2021
Galveston,2,220472.0,2021
Shreveport,1,218894.0,2021
Baton rouge,1,218894.0,2021
Ljubljana,1,206943.0,2021
Louisville,2,204030.0,2021
Nairobi,1,203225.0,2021
Belgium,2,201675.0,2021
Pakistan,6,199212.0,2021
Ontario,6,193350.0,2021
El calafate,7,189154.0,2021
Manila,1,187743.0,2021
Belfast,2,184636.0,2021
Lebanon,1,184427.0,2021
Mexico city,1,184427.0,2021
Star,1,181782.0,2021
Ohio,3,179175.0,2021
Chile,6,178865.0,2021
Berlin,3,175719.0,2021
Toronto,5,171814.0,2021
Aruba,1,171653.0,2021
Gram,1,159742.0,2021
Strasbourg,1,149796.0,2021
London,3,147990.0,2021
Oregon,6,143966.0,2021
Luxembourg,1,140718.0,2021
Tennessee,1,139235.0,2021
Nigeria,1,132736.0,2021
Kazakhstan,1,132736.0,2021
Panama,1,132736.0,2021
Dominican republic,1,132736.0,2021
Norway,1,132736.0,2021
Hanoi,1,132736.0,2021
Green bay,1,132044.0,2021
Ukraine,1,127594.0,2021
Krakow,1,126349.0,2021
Poland,1,126349.0,2021
Arkansas,1,124671.0,2021
Fayetteville,1,124671.0,2021
Yellville,1,124671.0,2021
Bentonville,1,124671.0,2021
Sacramento,3,123519.0,2021
Chania,1,123157.0,2021
Mosul,1,123141.0,2021
Damascus,1,123141.0,2021
Yemen,1,122747.0,2021
Nola,1,122046.0,2021
Brussels,2,121240.0,2021
West coast,1,120023.0,2021
Cleveland,2,117233.0,2021
Brazil,5,114421.0,2021
Leipzig,1,112655.0,2021
Barcelona,1,111513.0,2021
England,1,107985.0,2021
Cordoba,4,105060.0,2021
Colonia,3,95511.0,2021
Petra,1,94810.0,2021
Nice,1,92588.0,2021
Natchez,1,89602.0,2021
Tupelo,1,89602.0,2021
Lexington,1,78689.0,2021
Tostado,1,76141.0,2021
Dave,1,75381.0,2021
Georgia,2,74763.0,2021
Costa rica,7,69980.0,2021
Comodoro rivadavia,3,67983.0,2021
Carson city,1,65479.0,2021
Idaho,1,64750.0,2021
Rum,1,63871.0,2021
Savannah,1,61942.0,2021
Brugge,1,60957.0,2021
Quedlinburg,1,60622.0,2021
Hawaii,1,60283.0,2021
San diego,3,59423.0,2021
Frisco,1,52783.0,2021
Cheonan,1,51735.0,2021
Avignon,2,47912.0,2021
Casablanca,1,47128.0,2021
Sandwich,1,46101.0,2021
Utah,3,44446.0,2021
Del mar,2,42591.0,2021
Ottawa,1,41864.0,2021
Celle,1,40005.0,2021
Pella,2,38494.0,2021
Sao paulo,1,38451.0,2021
Santa cruz,2,38257.0,2021
Russia,1,38226.0,2021
Romania,1,38226.0,2021
Oman,1,38226.0,2021
Turkmenistan,1,38226.0,2021
Madagascar,1,38226.0,2021
Bunkie,1,36794.0,2021
Buenos aires,2,35870.0,2021
Cuenca,1,35723.0,2021
Moscow,1,34723.0,2021
Lithuania,1,33212.0,2021
Abbey,1,32908.0,2021
Netherlands,2,32722.0,2021
Punta arenas,1,32259.0,2021
Hudson bay,1,29954.0,2021
Tampa,3,29898.0,2021
Granby,2,27328.0,2021
San bernardo,1,27290.0,2021
San carlos de bariloche,1,26787.0,2021
El bolson,1,26516.0,2021
Holland,1,25673.0,2021
Estancia,1,25627.0,2021
Manhattan beach,1,22928.0,2021
Beverly hills,1,22928.0,2021
New mexico,1,21382.0,2021
Ireland,2,20684.0,2021
Perito moreno,1,20031.0,2021
Illinois,1,19516.0,2021
San miguel,1,18043.0,2021
Padua,1,18034.0,2021
Vicenza,1,18034.0,2021
Rada tilly,1,17291.0,2021
Kansas city,2,16390.0,2021
Denver,1,15190.0,2021
San antonio,1,14390.0,2021
Brampton,1,14367.0,2021
Lotus,1,14116.0,2021
Belle,1,14116.0,2021
Montezuma,1,13611.0,2021
Vienna,1,13611.0,2021
David,1,13508.0,2021
Helen,1,12821.0,2021
Albany,1,11863.0,2021
Dublin,1,11181.0,2021
Humboldt,1,10697.0,2021
South sudan,2,9400.0,2021
Melissa,1,9129.0,2021
Lee,1,9129.0,2021
San mateo,1,8598.0,2021
Nosara,1,8335.0,2021
Buffalo,1,7490.0,2021
Amsterdam,1,7049.0,2021
Burundi,2,6853.0,2021
Juba,1,6586.0,2021
Winterset,1,6489.0,2021
Stephen,1,5282.0,2021
Dwight,1,5020.0,2021
Croatia,1,4552.0,2021
Congo,1,3600.0,2021
Karachi,1,3600.0,2021
Ankara,1,3253.0,2021
Tyler,1,2891.0,2021
Kerby,1,2891.0,2021
Canada,132,204864678.0,2017
Los angeles,81,204570826.0,2017
Montreal,79,201465543.0,2017
Tokyo,27,87080256.0,2017
Japan,35,84411870.0,2017
Thailand,75,81167574.0,2017
David,13,63005790.0,2017
Bangkok,40,54289038.0,2017
Arab,8,48816709.0,2017
California,12,44018302.0,2017
China,15,40491821.0,2017
Manila,15,40360568.0,2017
Philippines,30,38538499.0,2017
Yunnan,4,37074132.0,2017
Colombia,11,35394949.0,2017
Indonesia,24,31559428.0,2017
Dubai,3,31344746.0,2017
India,25,26826219.0,2017
Kunming,1,25849567.0,2017
Cambodia,30,22331352.0,2017
Russia,26,21389362.0,2017
Yemen,1,21333638.0,2017
Karak,1,21333638.0,2017
Bhutan,19,18986375.0,2017
Germany,27,18566116.0,2017
English,18,18136112.0,2017
Phuket,4,17318439.0,2017
Peru,41,16605937.0,2017
Hong kong,24,15299028.0,2017
Phnom penh,8,14640237.0,2017
Egypt,8,13882833.0,2017
Sichuan,4,13829911.0,2017
Jerusalem,2,13392111.0,2017
Mexico,44,13221612.0,2017
Greece,8,12806252.0,2017
Munich,10,11962419.0,2017
Tel aviv,5,11709761.0,2017
Poland,33,10387666.0,2017
New york,12,10133546.0,2017
United arab emirates,2,10011108.0,2017
Athens,3,9961097.0,2017
Beverly hills,4,9738286.0,2017
Seoul,14,9359792.0,2017
Italy,28,9145857.0,2017
Bali,3,9037132.0,2017
Israel,7,8928172.0,2017
Amphawa,1,8690072.0,2017
Anton,2,8268243.0,2017
Pyongyang,2,8203281.0,2017
Quezon city,2,7938205.0,2017
Panama,35,7392739.0,2017
Warsaw,9,7103596.0,2017
Moscow,10,6891599.0,2017
Taylor,1,6530717.0,2017
Las vegas,4,6329487.0,2017
Rome,9,6296974.0,2017
Chicago,6,6129295.0,2017
Kalyvia thorikou,1,6008687.0,2017
Myanmar,1,5863455.0,2017
Sarah,2,5860876.0,2017
Singapore,10,5811556.0,2017
Palestine,2,5801523.0,2017
West bank,1,5680899.0,2017
Jesus,1,5680899.0,2017
Bethlehem,1,5680899.0,2017
Hebron,1,5680899.0,2017
England,11,5663038.0,2017
Hawaii,5,5660236.0,2017
Spring,3,5525265.0,2017
Usa,3,5481522.0,2017
Washington,1,5404311.0,2017
Jay,1,5178672.0,2017
Krakow,14,5000469.0,2017
Congress,1,4970086.0,2017
Hamburg,1,4942265.0,2017
Bahamas,30,4887598.0,2017
Chania,3,4819878.0,2017
Switzerland,2,4771480.0,2017
Zurich,1,4756066.0,2017
London,14,4438589.0,2017
United states,2,4129347.0,2017
Cairo,1,4022756.0,2017
Paris,20,3935254.0,2017
France,19,3890815.0,2017
Spanish,17,3787874.0,2017
Austria,16,3684763.0,2017
Bolivia,11,3661312.0,2017
Bonito,1,3650649.0,2017
Finland,7,3544189.0,2017
Dali,1,3530217.0,2017
Vivian,1,3496135.0,2017
Laura,10,3472184.0,2017
Christmas,9,3259988.0,2017
Texas,4,3215825.0,2017
Oyama,1,3085951.0,2017
Waco,1,3062262.0,2017
Guangdong,2,3053254.0,2017
Puerto rico,1,3009199.0,2017
Rico,1,3009199.0,2017
Boquete,3,2988135.0,2017
Lotus,3,2982235.0,2017
Nusa dua,2,2966409.0,2017
Don,2,2963377.0,2017
Peters,2,2885038.0,2017
Hollywood,4,2843452.0,2017
Netherlands,8,2796913.0,2017
Samsung,2,2750375.0,2017
Amsterdam,6,2744321.0,2017
Liman,1,2727203.0,2017
Nazareth,1,2727203.0,2017
Rainbow,2,2623363.0,2017
Chile,16,2592554.0,2017
Salzburg,2,2581723.0,2017
Turon,1,2576692.0,2017
Venice,7,2553686.0,2017
Hakone,1,2467791.0,2017
Mong kok,1,2448270.0,2017
Turkey,2,2361796.0,2017
Nicaragua,17,2355735.0,2017
Florida,11,2348047.0,2017
Banana,1,2304509.0,2017
Santa monica,1,2282356.0,2017
Coron,1,2213245.0,2017
El nido,1,2213245.0,2017
Petersburg,4,2179509.0,2017
Mcgregor,1,2170578.0,2017
Floyd,1,2170578.0,2017
Holland,2,2139335.0,2017
Jaffa,1,2123124.0,2017
Rotterdam,1,2119517.0,2017
Spain,20,2115111.0,2017
Ecuador,12,2012626.0,2017
Ireland,14,1998414.0,2017
Argentina,19,1970807.0,2017
Mexico city,19,1921102.0,2017
Hungary,14,1862874.0,2017
Okinawa,1,1862235.0,2017
Castle hill,4,1862020.0,2017
Taipei,13,1806352.0,2017
Costa rica,12,1805657.0,2017
Prague,8,1801733.0,2017
Miami,5,1800153.0,2017
Brazil,8,1792545.0,2017
Ayutthaya,1,1790814.0,2017
Bang pa-in,1,1790814.0,2017
Budapest,11,1726854.0,2017
Bogota,1,1719892.0,2017
Sweden,2,1704692.0,2017
Stockholm,1,1696821.0,2017
Taiwan,14,1691697.0,2017
Lima,8,1639223.0,2017
Portugal,5,1547786.0,2017
Australia,5,1517798.0,2017
Malaysia,11,1445363.0,2017
Latvia,7,1442674.0,2017
Afghanistan,1,1432592.0,2017
Iraq,1,1432592.0,2017
Estonia,6,1388553.0,2017
Ukraine,15,1376875.0,2017
Kyoto,8,1352578.0,2017
Vienna,13,1333797.0,2017
Krabi,2,1317024.0,2017
Luck,1,1256440.0,2017
Rajasthan,8,1249447.0,2017
Osaka,2,1228397.0,2017
Justin,7,1206072.0,2017
Ashdod,1,1197897.0,2017
Barcelona,5,1166737.0,2017
Celaya,5,1151599.0,2017
Guanajuato,5,1151599.0,2017
Quito,4,1123110.0,2017
Panama city,11,1111834.0,2017
Lisbon,2,1104150.0,2017
San juan bautista,2,1101386.0,2017
Tallinn,4,1084376.0,2017
Sandwich,2,1055111.0,2017
New zealand,2,1046901.0,2017
La paz,7,1042788.0,2017
Kuala lumpur,10,1041906.0,2017
George town,5,1001432.0,2017
Brussels,5,978808.0,2017
Belgium,5,978808.0,2017
Harris,1,975369.0,2017
Delhi,5,956370.0,2017
Jodhpur,5,943451.0,2017
Midnight,4,938507.0,2017
Dublin,4,930387.0,2017
Slovakia,13,898506.0,2017
Orlando,1,897122.0,2017
Kolkata,4,881548.0,2017
Kowloon,2,866072.0,2017
Cusco,6,846606.0,2017
South africa,12,838232.0,2017
Alberta,17,829690.0,2017
Kyrgyzstan,11,824200.0,2017
San blas,5,821255.0,2017
Bavaria,3,773412.0,2017
Long beach,6,766905.0,2017
Kathmandu,7,743416.0,2017
Varanasi,2,698676.0,2017
Continental,1,684344.0,2017
San diego,1,666516.0,2017
Mcdonald,1,666418.0,2017
Vladivostok,1,660791.0,2017
San marco,1,657034.0,2017
Menteng,1,653572.0,2017
Jakarta,1,653572.0,2017
Slovenia,9,652136.0,2017
Ljubljana,8,645517.0,2017
Lviv,9,623115.0,2017
Puno,2,611779.0,2017
Riga,4,596751.0,2017
Valley,2,595949.0,2017
Lithuania,4,594867.0,2017
Nepal,6,591503.0,2017
Scotland,11,572626.0,2017
Cape town,4,563749.0,2017
Edmonton,4,551586.0,2017
Hill,1,541746.0,2017
Maine,4,533634.0,2017
San pedro,4,531492.0,2017
Thimphu,1,523167.0,2017
Macau,6,513726.0,2017
Toronto,13,497655.0,2017
Amazonas,3,486503.0,2017
Georgia,4,484738.0,2017
Nassau,3,476153.0,2017
Joshua,1,471627.0,2017
Joshua tree,1,471627.0,2017
Czechia,1,469843.0,2017
La vega,2,468816.0,2017
Liberia,2,464700.0,2017
Berlin,3,464589.0,2017
Harbour island,3,463206.0,2017
Santa cruz,1,457530.0,2017
Glasgow,3,452490.0,2017
Eleuthera,3,446741.0,2017
Edinburgh,2,430143.0,2017
Glasgow city,1,418044.0,2017
Madrid,6,417682.0,2017
Sao paulo,1,415781.0,2017
Savannah,3,407399.0,2017
Cuba,2,405925.0,2017
Granada,6,405397.0,2017
Jamaica,1,403457.0,2017
Montego bay,1,403457.0,2017
Moon,1,403457.0,2017
Chiang mai,5,401383.0,2017
Jaipur,3,400200.0,2017
Nuremberg,7,395065.0,2017
Marche,2,392725.0,2017
Macao,3,374657.0,2017
Calama,1,357074.0,2017
Dhaka,1,349637.0,2017
Nine,3,346294.0,2017
Pakistan,2,340390.0,2017
Shanghai,2,336299.0,2017
Estancia,3,327565.0,2017
Song,1,325741.0,2017
West end,2,323672.0,2017
Sydney,2,319939.0,2017
Qatar,1,315823.0,2017
Doha,1,315823.0,2017
Vancouver,7,300945.0,2017
Milan,2,297434.0,2017
Madeira,1,294307.0,2017
Jasper,4,284929.0,2017
Golden city,1,284797.0,2017
Tata,6,284703.0,2017
Villas,1,277161.0,2017
British columbia,7,269578.0,2017
Vista,2,269514.0,2017
Notre dame,1,268464.0,2017
Pula,3,268078.0,2017
Kremlin,1,265109.0,2017
National park,2,258739.0,2017
Croatia,5,257291.0,2017
Myrtle beach,3,251646.0,2017
Medicina,1,239618.0,2017
Zagreb,4,231546.0,2017
New orleans,1,227517.0,2017
Oxford,2,225702.0,2017
Katy,2,223436.0,2017
Calgary,3,221994.0,2017
Detroit,1,215964.0,2017
Poznan,2,215895.0,2017
Czech republic,2,214671.0,2017
Dallas,2,213499.0,2017
Jordan,2,212846.0,2017
Luxembourg,1,211499.0,2017
Buenos aires,2,211482.0,2017
Laguna,1,210771.0,2017
Bratislava,3,210143.0,2017
Devin,1,197535.0,2017
Lemberg,2,183588.0,2017
San francisco,2,180288.0,2017
Ottawa,4,179608.0,2017
Vulcan,2,177259.0,2017
Albert,1,175309.0,2017
Galway,1,174340.0,2017
Aztec,1,170669.0,2017
South carolina,2,169130.0,2017
Inagua,1,168350.0,2017
Dover,1,167815.0,2017
Viola,1,166569.0,2017
Marsh harbour,1,163355.0,2017
West bay,1,161937.0,2017
El calafate,2,161271.0,2017
Fontana,1,160449.0,2017
Kingston,1,159654.0,2017
Stans,1,157108.0,2017
Mel,1,154750.0,2017
Leopolis,1,149115.0,2017
Cambridge city,1,146488.0,2017
Cambridge,1,146488.0,2017
Irma,1,143970.0,2017
Houston,1,143970.0,2017
Camp,1,143833.0,2017
Hamilton,1,143233.0,2017
Long island,1,143233.0,2017
Toledo,3,141224.0,2017
Island,1,141059.0,2017
Andre,1,139359.0,2017
Tybee island,1,136619.0,2017
Alpbach,1,136406.0,2017
Brandenberg,1,136406.0,2017
Kramsach,1,136406.0,2017
Tiro,1,136406.0,2017
Tyrol,1,136406.0,2017
Santiago,1,134573.0,2017
Canoe,1,133177.0,2017
Bella vista,1,133163.0,2017
Strawberry,3,132445.0,2017
Queensland,1,130283.0,2017
Limerick,1,129700.0,2017
Quintana roo,4,122823.0,2017
Bell,1,122285.0,2017
Stephen,1,122285.0,2017
Sun city,1,121935.0,2017
Agra,1,121317.0,2017
Helsinki,1,119715.0,2017
Arizona,1,118137.0,2017
San marino,1,117101.0,2017
Max,3,117004.0,2017
Michoacan,2,116235.0,2017
Togo,2,115568.0,2017
Atacama,1,115031.0,2017
Julian,1,114524.0,2017
New plymouth,1,109783.0,2017
Green turtle cay,1,109783.0,2017
Azul,1,107556.0,2017
Oruro,1,105938.0,2017
Bishkek,2,105619.0,2017
Segovia,2,105613.0,2017
Nova,7,101777.0,2017
Mostar,2,91927.0,2017
Polo,1,87949.0,2017
Sihanoukville,2,87519.0,2017
Pattaya,1,86970.0,2017
San cristobal,1,86731.0,2017
Kazakhstan,1,84712.0,2017
Portland,1,84427.0,2017
Tennessee,3,84274.0,2017
Rovinj,1,81628.0,2017
Santa clara,2,81211.0,2017
Norway,1,81028.0,2017
Roma,2,80788.0,2017
Toyota,5,80509.0,2017
Corolla,5,80509.0,2017
Graz,1,79423.0,2017
Kyiv,1,77339.0,2017
Kyiv city,1,77339.0,2017
Volcano,1,75427.0,2017
Palm beach,1,71418.0,2017
Milo,1,70371.0,2017
Kuala,1,70371.0,2017
March,1,68196.0,2017
Tofino,4,67164.0,2017
Avila,1,66041.0,2017
Nevada,2,64209.0,2017
Tainan,1,64198.0,2017
Hanoi,1,62944.0,2017
Turku,2,60904.0,2017
Regensburg,1,59118.0,2017
Bamberg,1,59118.0,2017
Karakol,3,56212.0,2017
Alamo,1,55156.0,2017
Masala,1,52434.0,2017
Quedlinburg,1,51813.0,2017
Quebec,2,51603.0,2017
Oman,1,49103.0,2017
Canyon,1,49103.0,2017
Jupiter,1,48549.0,2017
Mumbai,1,48252.0,2017
Maryland,1,47026.0,2017
Panama city beach,1,45030.0,2017
Beach,1,45030.0,2017
Xining,1,44440.0,2017
Lublin,1,41378.0,2017
El rosario,1,40808.0,2017
Mariposa,1,40808.0,2017
Atlantis,1,40083.0,2017
Plaza,1,39561.0,2017
Garibaldi,1,39561.0,2017
Pinnacle,1,39352.0,2017
Montenegro,2,37524.0,2017
Guangzhou,1,37455.0,2017
Shenzhen,1,37455.0,2017
Alaska,2,36822.0,2017
Iberia,1,35611.0,2017
Connecticut,1,35140.0,2017
Mystic,1,35140.0,2017
Jackson,1,33191.0,2017
Pamplona,1,33145.0,2017
Kenya,1,31870.0,2017
Kisumu,1,31870.0,2017
Boston,1,31391.0,2017
Cuenca,1,28996.0,2017
San juan,1,27901.0,2017
Bermeo,1,27901.0,2017
San sebastian,1,27901.0,2017
Leiden,2,26207.0,2017
Greenland,2,23784.0,2017
Playa,1,23578.0,2017
Romania,1,23382.0,2017
Johannesburg,2,23352.0,2017
Nashville,1,23246.0,2017
Istanbul,1,20907.0,2017
Memphis,1,20693.0,2017
South holland,1,19818.0,2017
North holland,1,19818.0,2017
Jeff,1,18397.0,2017
Hopewell,1,18199.0,2017
Pisco,1,17413.0,2017
Chapultepec,1,16909.0,2017
Belfast,1,16744.0,2017
Loch,1,16605.0,2017
Sri lanka,2,16262.0,2017
Galapagos,1,15913.0,2017
Inverness,1,15882.0,2017
Kuna,1,15732.0,2017
Williams,1,15524.0,2017
Delta,2,14589.0,2017
Saskatchewan,1,13345.0,2017
Malibu,1,13288.0,2017
Halifax,1,12926.0,2017
Trogir,1,9879.0,2017
San jose,1,9479.0,2017
Baja,1,9479.0,2017
Damanhur,1,7737.0,2017
Swiss,1,7558.0,2017
United kingdom,1,6681.0,2017
Wales,1,6681.0,2017
Duncan,1,5755.0,2017
Austin,1,3345.0,2017
Indonesia,69,46107327.0,2016
Jakarta,28,38310212.0,2016
Mumbai,8,35627756.0,2016
India,20,33695319.0,2016
Thailand,84,32577876.0,2016
Istanbul,8,26516367.0,2016
Canada,106,26455073.0,2016
Bangkok,42,25108780.0,2016
Seoul,55,22871004.0,2016
Singapore,36,21287906.0,2016
Philippines,55,20723350.0,2016
Montreal,19,20215182.0,2016
Los angeles,19,19245922.0,2016
New york,16,18632021.0,2016
Jordan,14,16888970.0,2016
Manhattan,7,16864097.0,2016
Rome,18,15213377.0,2016
Turkey,7,14913391.0,2016
London,22,14315481.0,2016
Arab,8,13572904.0,2016
Italy,31,13430171.0,2016
Amman,9,13340654.0,2016
Lisbon,17,13216792.0,2016
Portugal,20,12672130.0,2016
Germany,64,11953923.0,2016
Barcelona,20,11760702.0,2016
Florida,41,11682056.0,2016
Manga,2,10225226.0,2016
Spain,37,9458007.0,2016
Tokyo,14,7600394.0,2016
Mexico,23,7548002.0,2016
El nido,7,7295636.0,2016
English,24,7259093.0,2016
Oman,3,7180077.0,2016
Vada,2,6980837.0,2016
David,1,6681653.0,2016
Paris,22,6579518.0,2016
France,66,6411039.0,2016
Stockholm,7,5828114.0,2016
Sagrada familia,4,5805398.0,2016
Japan,11,5788404.0,2016
Munich,9,5666284.0,2016
Chiang mai,15,5655448.0,2016
Dubai,2,5634583.0,2016
Ferrari,3,5399781.0,2016
Toronto,54,5387048.0,2016
Saudi arabia,1,5240183.0,2016
Kathmandu,8,5009669.0,2016
China,14,4985495.0,2016
Petra,3,4974265.0,2016
Las vegas,12,4732811.0,2016
Malaysia,11,4724727.0,2016
Amsterdam,5,4699018.0,2016
Finland,48,4601500.0,2016
Laura,19,4563203.0,2016
Panama,42,4409957.0,2016
Casa,3,4311808.0,2016
Ontario,53,4256839.0,2016
Sarah,4,4250275.0,2016
England,11,4223393.0,2016
Peru,47,4159656.0,2016
Maine,1,4101244.0,2016
Hong kong,14,4062978.0,2016
Muscat,1,3903514.0,2016
Christopher,1,3903281.0,2016
United kingdom,3,3830348.0,2016
Arco,1,3722808.0,2016
Padang,4,3633839.0,2016
Jesus,4,3550172.0,2016
Vancouver,18,3506679.0,2016
Spanish,24,3447342.0,2016
Justin,1,3423231.0,2016
Brazil,40,3420133.0,2016
Boston,5,3411027.0,2016
Holland,6,3336138.0,2016
Hollywood,2,3266524.0,2016
Moana,1,3261048.0,2016
Plaza,2,3257973.0,2016
Poland,9,3211796.0,2016
Krakow,8,3207748.0,2016
San giovanni,1,3074176.0,2016
Trevi,1,3074176.0,2016
Dana,1,2769912.0,2016
Masala,1,2716076.0,2016
Newark,1,2678275.0,2016
South africa,15,2621317.0,2016
Beverly hills,2,2618108.0,2016
Netherlands,6,2615845.0,2016
Taiwan,6,2607574.0,2016
Bhaktapur,1,2576192.0,2016
Bahamas,15,2532666.0,2016
Cuba,8,2486528.0,2016
New zealand,13,2464736.0,2016
Argentina,44,2448633.0,2016
British columbia,10,2414663.0,2016
Andrew,1,2406049.0,2016
Tampa,2,2271033.0,2016
Angela,1,2262942.0,2016
Kenya,16,2238663.0,2016
Springfield,2,2226944.0,2016
Brooklyn,2,2157701.0,2016
Hercules,1,2052941.0,2016
Zeist,2,2039345.0,2016
Morocco,12,2035826.0,2016
Cambodia,8,1916975.0,2016
Lima,28,1911591.0,2016
Hilton,4,1852508.0,2016
Tianjin,1,1839590.0,2016
Gamla stan,1,1826790.0,2016
Qatar,4,1722706.0,2016
Nizwa,1,1722291.0,2016
California,10,1638733.0,2016
Manila,10,1632147.0,2016
Norway,8,1628346.0,2016
Hanoi,7,1597105.0,2016
Christmas,12,1524227.0,2016
Havana,4,1484735.0,2016
Australia,7,1468949.0,2016
Kuala lumpur,6,1452048.0,2016
Miami,7,1420412.0,2016
Nevada,6,1414857.0,2016
Nicaragua,2,1395336.0,2016
Taipei,6,1375128.0,2016
Doha,2,1371074.0,2016
Jeonju,2,1362991.0,2016
Medan,2,1301821.0,2016
Soto,1,1253406.0,2016
Jeffrey,1,1247441.0,2016
Denpasar,1,1209311.0,2016
Gerard,1,1169238.0,2016
Romania,13,1160037.0,2016
Greece,9,1159257.0,2016
Marina del rey,1,1126654.0,2016
Jinan,1,1047477.0,2016
Nara,1,1029243.0,2016
Kendrick,1,1022537.0,2016
Slovakia,3,998697.0,2016
Vero beach,3,989086.0,2016
Bamberg,3,980857.0,2016
Sweden,4,977072.0,2016
Mexico city,9,976949.0,2016
Scotland,10,959152.0,2016
Mount nebo,1,947885.0,2016
Budapest,4,935554.0,2016
Menteng,2,926883.0,2016
Berlin,4,926263.0,2016
West palm beach,4,925880.0,2016
Edinburgh,7,917833.0,2016
Nine,3,870221.0,2016
Belem,1,869687.0,2016
Alaska,2,865443.0,2016
Georgia,4,847922.0,2016
Costa rica,9,846483.0,2016
Savannah,3,839906.0,2016
Mariana,2,834807.0,2016
Hungary,4,807288.0,2016
Don,1,800239.0,2016
Rio de janeiro,2,775335.0,2016
Ljubljana,5,747746.0,2016
Johannesburg,5,736755.0,2016
Palembang,1,733536.0,2016
Nairobi,4,712147.0,2016
Bulgaria,6,711617.0,2016
March,8,710008.0,2016
Yogyakarta,3,707307.0,2016
Marina,4,701246.0,2016
Rico,3,693334.0,2016
Puerto,3,692181.0,2016
Dallas,1,669851.0,2016
Houston,1,669851.0,2016
Queenstown,2,650432.0,2016
Anthony,1,627613.0,2016
Dominican republic,10,626852.0,2016
West coast,1,625367.0,2016
Cathay,2,624639.0,2016
Puerto rico,2,615625.0,2016
Santa monica,2,615525.0,2016
Tennessee,2,590549.0,2016
San francisco,2,590285.0,2016
Chile,11,589308.0,2016
Alabama,1,585865.0,2016
Mississippi,1,585865.0,2016
Louisiana,1,585865.0,2016
Rose city,1,577868.0,2016
Slovenia,4,574578.0,2016
Cuzco,6,572106.0,2016
Barranco,2,556398.0,2016
Duluth,3,553836.0,2016
Minnesota,3,553836.0,2016
Midnight,2,550142.0,2016
Mostar,4,546820.0,2016
Overland,1,533333.0,2016
Bratislava,1,533333.0,2016
Dania beach,2,532711.0,2016
Manado,1,522291.0,2016
Nepal,2,521115.0,2016
Mauritius,3,508131.0,2016
Zimbabwe,2,506865.0,2016
Bud,2,502202.0,2016
Quebec,2,501233.0,2016
Flores,2,496735.0,2016
Ottawa,13,483485.0,2016
Hackett,1,475882.0,2016
